scenario_id,trial_number,fund_a,fund_b
e25b48e9-4356-4c4c-8b05-94132af9dac1,216,25,74
e25b48e9-4356-4c4c-8b05-94132af9dac1,217,24,75
e25b48e9-4356-4c4c-8b05-94132af9dac1,218,29,70
e25b48e9-4356-4c4c-8b05-94132af9dac1,219,28,71
e25b48e9-4356-4c4c-8b05-94132af9dac1,220,25,74
e25b48e9-4356-4c4c-8b05-94132af9dac1,221,25,74
e25b48e9-4356-4c4c-8b05-94132af9dac1,222,25,74
e25b48e9-4356-4c4c-8b05-94132af9dac1,223,24,75
e25b48e9-4356-4c4c-8b05-94132af9dac1,224,25,74
e25b48e9-4356-4c4c-8b05-94132af9dac1,225,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,226,17,82
e25b48e9-4356-4c4c-8b05-94132af9dac1,227,16,83
e25b48e9-4356-4c4c-8b05-94132af9dac1,228,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,229,13,86
e25b48e9-4356-4c4c-8b05-94132af9dac1,230,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,231,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,232,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,233,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,234,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,235,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,236,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,237,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,238,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,239,13,86
e25b48e9-4356-4c4c-8b05-94132af9dac1,240,13,86
e25b48e9-4356-4c4c-8b05-94132af9dac1,241,13,86
e25b48e9-4356-4c4c-8b05-94132af9dac1,242,13,86
e25b48e9-4356-4c4c-8b05-94132af9dac1,243,13,86
e25b48e9-4356-4c4c-8b05-94132af9dac1,244,13,86
e25b48e9-4356-4c4c-8b05-94132af9dac1,245,14,85
